"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1144681758199123968","https://twitter.com/cryoEM_Papers/status/1144681758199123968","Substrate processing by the Cdc48 ATPase complex is initiated by ubiquitin unfolding https://t.co/sFMsmglS8Q","2019-06-28 18:59 +0000","2106.0","34.0","0.016144349477682812","0.0","0.0","1.0","4.0","29.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1144681293520572416","https://twitter.com/cryoEM_Papers/status/1144681293520572416","LAT1 (SLC7A5) and CD98hc (SLC3A2) complex dynamics revealed by single-particle cryo-EM https://t.co/1hvo7Y9phz","2019-06-28 18:57 +0000","3169.0","190.0","0.05995582202587567","3.0","0.0","7.0","10.0","159.0","0.0","11.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1144681261438365696","https://twitter.com/cryoEM_Papers/status/1144681261438365696","Assembly mechanisms of the bacterial cytoskeletal protein FilP https://t.co/YV8RnygNVT","2019-06-28 18:57 +0000","1787.0","35.0","0.019585898153329603","0.0","0.0","0.0","1.0","34.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1144681203959681024","https://twitter.com/cryoEM_Papers/status/1144681203959681024","Structural and mutational analysis of the ribosome-arresting human XBP1u https://t.co/e2dvCq6Yxm","2019-06-28 18:57 +0000","1817.0","15.0","0.00825536598789213","0.0","0.0","1.0","0.0","14.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1144681182283517952","https://twitter.com/cryoEM_Papers/status/1144681182283517952","Cryo-EM structure of the rhodopsin-Gαi-βγ complex reveals binding of the rhodopsin C-terminal tail to the Gβ subunit https://t.co/zRSRtaQfOH","2019-06-28 18:57 +0000","2030.0","48.0","0.023645320197044337","0.0","0.0","1.0","0.0","46.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1144681038217482245","https://twitter.com/cryoEM_Papers/status/1144681038217482245","Scaffold subunits support associated subunit assembly in the Chlamydomonas ciliary nexin-dynein regulatory complex https://t.co/KbAiFVODYE","2019-06-28 18:56 +0000","1869.0","22.0","0.011771000535045479","1.0","0.0","0.0","0.0","16.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1144681013194326016","https://twitter.com/cryoEM_Papers/status/1144681013194326016","Should virus capsids assemble perfectly? A simple equilibrium model for defects https://t.co/aWOuy6ehz3","2019-06-28 18:56 +0000","2108.0","41.0","0.019449715370018977","1.0","0.0","1.0","1.0","38.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1144680983184039936","https://twitter.com/cryoEM_Papers/status/1144680983184039936","Lis1 promotes the formation of maximally activated cytoplasmic dynein-1 complexes https://t.co/KRUFnxYeKv","2019-06-28 18:56 +0000","1703.0","13.0","0.007633587786259542","0.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1143959284704616448","https://twitter.com/cryoEM_Papers/status/1143959284704616448","Structure and autoregulation of a P4-ATPase lipid flippase https://t.co/XwTRT4vmeJ","2019-06-26 19:08 +0000","3757.0","230.0","0.06121905775885015","5.0","0.0","22.0","19.0","167.0","0.0","15.0","1.0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1143959262932025344","https://twitter.com/cryoEM_Papers/status/1143959262932025344","Conformational transitions of a neurotensin receptor 1–Gi1 complex https://t.co/UeNc2Au1tg","2019-06-26 19:08 +0000","2563.0","107.0","0.041747951619196255","2.0","0.0","7.0","5.0","89.0","0.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
